192.168.0.6 aaa c49ca2e6-fc6a-4506-8623-135e6262b8d9 running cirros f27edfae-6952-4112-83e8-e9f378e668d3 yes compute-34 1
192.168.76.14 zhl-new-1123-01-JFHDyxEW-1 a34fd39c-f27e-4d34-87da-6691d33465c0 running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-48 0
192.168.76.33 zhl-V6-jQo4JqxN-3 6b77e685-bcc1-4288-9473-527b6e065fb5 running rhel74-ipv6 78327c05-0d3b-419d-a68e-490d1b43b3dc yes compute-48 1
192.168.76.94 zhl-V6-jQo4JqxN-1 1dad7434-c680-4592-8982-0315feaaffe5 running rhel74-ipv6 78327c05-0d3b-419d-a68e-490d1b43b3dc yes compute-48 1
192.168.0.8 zq-qos-2 043a2253-bff1-43e8-9247-989355eb5ced running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-48 0
192.168.76.7 zhl---FL9mzSgG-9 4dc7bcc8-9182-41c9-84e2-25078fcb40c5 running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-47 0
192.168.76.60 zhl-new-1123-01-JFHDyxEW-2 b2ccce64-3246-493c-b043-0f56ff25787d running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-47 0
192.168.76.36 zhl-new-1123-01-JFHDyxEW-3 eeb237b6-ec13-456f-a986-42b93ba39d51 running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-47 0
192.168.0.9 zq-qos-1 3e37c2fe-8f36-4d3c-9777-a0d121ab31ed running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-47 0
192.168.8.14 test01 3be39dd9-ad69-4989-93e9-3e4f255040fd running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-7 0
192.168.76.49 testddd a7a6bf67-253f-45fc-b8b6-666e149a3b12 running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-7 1
192.168.76.83 3 64bf2be1-4ad0-411b-905b-2c9f6b88dc54 running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-7 1
192.168.76.4, 192.168.76.22 wangchen-instance 1cbc28d2-1526-45f0-94e1-bb9b7f984f57 running at-centos73 45b87b4f-146f-49d5-be5e-0594540df76c yes compute-7 1
